[2021-12-23.00:43:51]: Player stepped on cell (5, 4)
[2021-12-23.00:43:52]: Player stepped on cell (5, 3)
[2021-12-23.00:43:52]: Player stepped on cell (6, 3)
[2021-12-23.00:43:53]: Player stepped on cell (7, 3)
[2021-12-23.00:43:53]: Player stepped on cell (8, 3)
[2021-12-23.00:43:53]: Player stepped on cell (9, 3)
[2021-12-23.00:43:54]: Player taken "Light rune of damage"
[2021-12-23.00:43:54]: Player stepped on cell (10, 3)
[2021-12-23.00:43:55]: Player stepped on cell (10, 2)
[2021-12-23.00:43:56]: Player stepped on cell (9, 2)
[2021-12-23.00:43:56]: Player stepped on cell (8, 2)
[2021-12-23.00:43:56]: Player stepped on cell (7, 2)
[2021-12-23.00:43:57]: Player stepped on cell (6, 2)
[2021-12-23.00:43:58]: Player taken "Light rune of defence"
[2021-12-23.00:43:58]: Player stepped on cell (5, 2)
[2021-12-23.00:43:58]: Player stepped on cell (5, 1)
[2021-12-23.00:43:59]: Player stepped on cell (4, 1)
[2021-12-23.00:43:59]: Player taken "Medium rune of defence"
[2021-12-23.00:43:59]: Player stepped on cell (3, 1)
[2021-12-23.00:44:00]: Player stepped on cell (4, 1)
[2021-12-23.00:44:00]: Player stepped on cell (5, 1)
[2021-12-23.00:44:01]: Player stepped on cell (6, 1)
